Distance (cm) +- 0.2,Second (s),Count
59.5,10,19
59.5,10,22
59.5,10,26
59.5,10,16
59.5,10,20
59.5,10,20
59.5,10,26
59.5,10,26
59.5,10,23
59.5,10,20
59.5,10,20
59.5,10,25
59.5,10,16
59.5,10,22
59.5,10,21
59.5,10,19
59.5,10,17
59.5,10,17
59.5,10,17
59.5,10,21
59.5,10,19
59.5,10,18
59.5,10,20
59.5,10,12
59.5,10,29
59.5,10,17
59.5,10,24
59.5,10,24
59.5,10,23
59.5,10,24
59.5,10,29
59.5,10,28
59.5,10,21
59.5,10,23
59.5,10,19
59.5,10,17
59.5,10,21
59.5,10,24
59.5,10,21
59.5,10,18
59.5,10,26
59.5,10,28
59.5,10,22
59.5,10,21
59.5,10,23
59.5,10,16
59.5,10,21
59.5,10,20
59.5,10,12
59.5,10,15
59.5,10,30
59.5,10,20
59.5,10,25
59.5,10,24
59.5,10,17
59.5,10,30
59.5,10,18
59.5,10,31
59.5,10,19
59.5,10,27
59.5,10,20
59.5,10,31
59.5,10,19
59.5,10,19
59.5,10,23
59.5,10,33
59.5,10,19
59.5,10,21
59.5,10,22
59.5,10,28
59.5,10,27
59.5,10,19
59.5,10,14
59.5,10,18
59.5,10,29
59.5,10,19
59.5,10,25
59.5,10,15
59.5,10,24
59.5,10,16
59.5,10,20
59.5,10,19
59.5,10,18
59.5,10,21
59.5,10,21
59.5,10,18
59.5,10,26
59.5,10,19
59.5,10,20
59.5,10,22
59.5,10,17
59.5,10,19
59.5,10,14
59.5,10,21
59.5,10,28
59.5,10,17
59.5,10,17
59.5,10,20
59.5,10,10
59.5,10,27
